painter,shape,shape_role,is_test_shape,general_dominant_frequency,shape_dominant_frequency,actual_frequency,actual_frequency_cycles,uses_general_dominant,uses_shape_dominant,image,repeat_inside_shape,single_category_example_number,single_category_x_position,single_category_y_position
Aurora,olivia_shape,test,yes,F4,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,3,5,330,194
Aurora,olivia_shape,test,yes,F4,F2,F2,5,no,yes,images/v6_clear_frequency_shapes/olivia_shape_F2_5cycles.png,2,6,405,68
Aurora,grace_shape,filler,no,F4,F4,F4,20,yes,yes,images/v6_clear_frequency_shapes/grace_shape_F4_20cycles.png,1,7,510,188
Aurora,olivia_shape,test,yes,F4,F2,F4,20,yes,no,images/v6_clear_frequency_shapes/olivia_shape_F4_20cycles.png,1,8,150,190
Leah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,1,1,560,64
Leah,olivia_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,1,2,150,190
Leah,branch_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,1,3,510,188
Leah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,3,4,95,66
Leah,olivia_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,3,5,250,64
Leah,olivia_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/olivia_shape_F1_2cycles.png,2,6,405,68
Leah,emily_shape,test,yes,F1,F3,F3,10,no,yes,images/v6_clear_frequency_shapes/emily_shape_F3_10cycles.png,2,7,330,194
Leah,branch_shape,filler,no,F1,F1,F1,2,yes,yes,images/v6_clear_frequency_shapes/branch_shape_F1_2cycles.png,2,8,710,70
